song name,artist,wav file location
Sea Gets Hotter,Durand Jones & The Indications,downloads/Sea Gets Hotter - Durand Jones & The Indications.wav
fly sht,Destroy Lonely,downloads/fly sht - Destroy Lonely.wav
O Mundo É Um Moinho,Cartola,downloads/O Mundo É Um Moinho - Cartola.wav
Shape Of My Heart,Sting,downloads/Shape Of My Heart - Sting.wav
No Doubt,ENHYPEN,downloads/No Doubt - ENHYPEN.wav
Mystery Of Love,Sufjan Stevens,downloads/Mystery Of Love - Sufjan Stevens.wav
Angels in Tibet,amaarae,downloads/Angels in Tibet - amaarae.wav
Depression & Obsession,xxxtentacion,downloads/Depression & Obsession - xxxtentacion.wav
Vienna (In Memoriam),"The Army, The Navy","downloads/Vienna (In Memoriam) - The Army, The Navy.wav"
LDN,Lily Allen,downloads/LDN - Lily Allen.wav
Best Friends,The Weeknd,downloads/Best Friends - The Weeknd.wav
CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,downloads/CLOUT COBAIN | CLOUT CO13A1N - Denzel Curry.wav
The Ballad Of Matt & Mica,MAGDALENA BAY,downloads/The Ballad Of Matt & Mica - MAGDALENA BAY.wav
Born With a Broken Heart,Damiano David,downloads/Born With a Broken Heart - Damiano David.wav
Love Me Not (feat. Rex Orange County),Ravyn Lenae,downloads/Love Me Not (feat. Rex Orange County) - Ravyn Lenae.wav
Hard to Explain,The Strokes,downloads/Hard to Explain - The Strokes.wav
Loose Ends,Imogen Heap,downloads/Loose Ends - Imogen Heap.wav
How you like that,BLACKPINK,downloads/How you like that - BLACKPINK.wav
24 SONGS,EGO,downloads/24 SONGS - EGO.wav
Freak on a Leash,Korn,downloads/Freak on a Leash - Korn.wav
Woods,Mac Miller,downloads/Woods - Mac Miller.wav
You're Beautiful,James Blunt,downloads/You're Beautiful - James Blunt.wav
"Burn, Burn, Burn",Zach Bryan,"downloads/Burn, Burn, Burn - Zach Bryan.wav"
Auntie Diaries,Kendrick Lamar,downloads/Auntie Diaries - Kendrick Lamar.wav
Too Sad to Dance,Jung Kook,downloads/Too Sad to Dance - Jung Kook.wav
Control,Halsey,downloads/Control - Halsey.wav
"""Slut!"" (Taylor's Version) (From The Vault)",Taylor Swift,"downloads/""Slut!"" (Taylor's Version) (From The Vault) - Taylor Swift.wav"
LOOP (feat. Lil Cherry),Yves,downloads/LOOP (feat. Lil Cherry) - Yves.wav
Undisclosed Desires,Muse,downloads/Undisclosed Desires - Muse.wav
In the Name of Love,Martin Garrix,downloads/In the Name of Love - Martin Garrix.wav
Kyouran Hey Kids!!,THE ORAL CIGARETTES,downloads/Kyouran Hey Kids!! - THE ORAL CIGARETTES.wav
Fifty-Fifty Clown,Cocteau Twins,downloads/Fifty-Fifty Clown - Cocteau Twins.wav
Potholderz,MF DOOM,downloads/Potholderz - MF DOOM.wav
Dark Necessities,Red Hot Chili Peppers,downloads/Dark Necessities - Red Hot Chili Peppers.wav
Garden (Say It Like Dat),SZA,downloads/Garden (Say It Like Dat) - SZA.wav
mIRrORbaLl,Taylor Swift,downloads/mIRrORbaLl - Taylor Swift.wav
AZASU,Skrillex,downloads/AZASU - Skrillex.wav
Girls,Marina,downloads/Girls - Marina.wav
ANTI-ROMANTIC,TOMORROW X TOGETHER,downloads/ANTI-ROMANTIC - TOMORROW X TOGETHER.wav
Scars To Your Beautiful,Alessia Cara,downloads/Scars To Your Beautiful - Alessia Cara.wav
"Vermilion, Pt. 2",Slipknot,"downloads/Vermilion, Pt. 2 - Slipknot.wav"
Wanted Dead or Alive,Bon Jovi,downloads/Wanted Dead or Alive - Bon Jovi.wav
i wish i hated you,Ariana Grande,downloads/i wish i hated you - Ariana Grande.wav
